
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002744                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 2058979                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           1389993                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect            144012                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              1302496                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                 1103146                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.846948                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                  449403                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect              57063                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             237                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 18                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              219                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted           87                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         3528281                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              96                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts            143835                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      4978209                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     2.001717                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.306842                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         1608165     32.30%     32.30% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         1344158     27.00%     59.30% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          429889      8.64%     67.94% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          544122     10.93%     78.87% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          325185      6.53%     85.40% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          197206      3.96%     89.36% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6          183735      3.69%     93.05% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           26509      0.53%     93.59% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          319240      6.41%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total      4978209                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted              8432218                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                9964965                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     1815377                       # Number of memory references committed (Count)
system.cpu.commit.loads                        885007                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          42                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                    1201381                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                     9462002                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                326392                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass            0      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu      7993523     80.22%     80.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult       156065      1.57%     81.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv            0      0.00%     81.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd            0      0.00%     81.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     81.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     81.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     81.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     81.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     81.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     81.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     81.78% # Class of committed instruction (Count)
